username,playertype,issuccess,date
random@epitech.eu,PlayerType.INSPECTOR,0,1605467026
random@epitech.eu,PlayerType.FANTOM,1,1605467026
random@epitech.eu,PlayerType.INSPECTOR,1,1605467081
random@epitech.eu,PlayerType.FANTOM,0,1605467081
random@epitech.eu,PlayerType.INSPECTOR,1,1605467148
random@epitech.eu,PlayerType.FANTOM,0,1605467148
random@epitech.eu,PlayerType.INSPECTOR,1,1605468712.9464812
random@epitech.eu,PlayerType.FANTOM,0,1605468712.9464812
random@epitech.eu,PlayerType.INSPECTOR,1,1605468718.9315743
random@epitech.eu,PlayerType.FANTOM,0,1605468718.9315743
random@epitech.eu,PlayerType.INSPECTOR,1,1605468723.4694135
random@epitech.eu,PlayerType.FANTOM,0,1605468723.4694135
random@epitech.eu,PlayerType.INSPECTOR,1,1605471361.466266
random@epitech.eu,PlayerType.FANTOM,0,1605471361.466266
random@epitech.eu,PlayerType.INSPECTOR,0,1605471367.5089018
random@epitech.eu,PlayerType.FANTOM,1,1605471367.5089018
